# t,i_Ls,i_Lc1,i_Lc2_,i_HF1,i_HF2,t_shifted
0.0100000099999485,-0.6978412995379567,-1.2777766984850614,-1.1565656836065934,-1.799,2.374,0.0
0.0100000109999485,-0.6818412995379567,-1.2767766984850615,-1.1585656836065934,-1.783,2.447,0.0009999999994736442
0.0100000119999485,-0.6668412995379567,-1.2757766984850614,-1.1605656836065934,-1.766,2.52,0.0020000000006820118
0.0100000129999485,-0.6508412995379567,-1.2747766984850615,-1.1625656836065934,-1.749,2.593,0.003000000000155656
0.0100000139999485,-0.6358412995379567,-1.2737766984850614,-1.1635656836065935,-1.733,2.666,0.0039999999996293
0.0100000149999485,-0.6198412995379567,-1.2727766984850615,-1.1655656836065935,-1.716,2.739,0.005000000000837668
0.0100000159999485,-0.6048412995379567,-1.2717766984850614,-1.1675656836065935,-1.7,2.812,0.006000000000311312
0.0100000169999485,-0.5888412995379567,-1.2707766984850615,-1.1695656836065935,-1.683,2.885,0.006999999999784956
0.0100000179999485,-0.5738412995379567,-1.2697766984850614,-1.1715656836065935,-1.666,2.958,0.008000000000993324
0.0100000189999485,-0.5578412995379567,-1.2687766984850615,-1.1735656836065935,-1.65,3.031,0.009000000000466968
0.0100000199999485,-0.5418412995379567,-1.2677766984850614,-1.1755656836065935,-1.633,3.104,0.009999999999940612
0.0100000209999485,-0.5268412995379568,-1.2667766984850615,-1.1765656836065934,-1.617,3.177,0.01100000000114898
0.0100000219999485,-0.5108412995379568,-1.2657766984850614,-1.1785656836065934,-1.6,3.25,0.012000000000622624
0.0100000229999485,-0.4958412995379567,-1.2647766984850615,-1.1805656836065934,-1.584,3.323,0.013000000000096268
0.0100000239999485,-0.4798412995379567,-1.2637766984850614,-1.1825656836065934,-1.567,3.396,0.013999999999569912
0.0100000249999485,-0.4648412995379567,-1.2627766984850615,-1.1845656836065934,-1.55,3.469,0.01500000000077828
0.0100000259999485,-0.4488412995379567,-1.2617766984850614,-1.1865656836065934,-1.534,3.542,0.016000000000251924
0.0100000269999485,-0.4338412995379567,-1.2607766984850615,-1.1875656836065935,-1.517,3.615,0.016999999999725568
0.0100000279999485,-0.4178412995379567,-1.2597766984850614,-1.1895656836065935,-1.501,3.688,0.018000000000933936
0.0100000289999485,-0.4028412995379567,-1.2587766984850615,-1.1915656836065935,-1.484,3.761,0.01900000000040758
0.0100000299999485,-0.3968412995379567,-1.2567766984850615,-1.1915656836065935,-1.478,3.784,0.019999999999881224
0.0100000309999485,-0.3918412995379567,-1.2557766984850613,-1.1915656836065935,-1.471,3.807,0.02100000000108959
0.0100000319999485,-0.3858412995379567,-1.2547766984850615,-1.1915656836065935,-1.465,3.829,0.022000000000563236
0.0100000329999485,-0.3808412995379567,-1.2537766984850613,-1.1915656836065935,-1.458,3.852,0.02300000000003688
0.0100000339999485,-0.3748412995379567,-1.2527766984850615,-1.1915656836065935,-1.452,3.875,0.023999999999510524
0.0100000349999485,-0.3698412995379567,-1.2517766984850613,-1.1915656836065935,-1.445,3.897,0.02500000000071889
0.0100000359999485,-0.3648412995379567,-1.2507766984850615,-1.1915656836065935,-1.439,3.92,0.026000000000192536
0.0100000369999485,-0.3588412995379567,-1.2497766984850613,-1.1915656836065935,-1.432,3.943,0.02699999999966618
0.0100000379999485,-0.3538412995379567,-1.2487766984850615,-1.1915656836065935,-1.426,3.965,0.028000000000874548
0.0100000389999485,-0.3478412995379567,-1.2477766984850613,-1.1915656836065935,-1.419,3.988,0.02900000000034819
0.0100000399999485,-0.3428412995379567,-1.2467766984850615,-1.1915656836065935,-1.413,4.011,0.029999999999821836
0.0100000409999485,-0.3368412995379567,-1.2457766984850613,-1.1915656836065935,-1.406,4.033,0.031000000001030203
0.0100000419999485,-0.3318412995379567,-1.2447766984850615,-1.1915656836065935,-1.4,4.056,0.03200000000050385
0.0100000429999485,-0.3268412995379567,-1.2437766984850613,-1.1915656836065935,-1.394,4.079,0.03299999999997749
0.0100000439999485,-0.3208412995379567,-1.2427766984850614,-1.1915656836065935,-1.387,4.102,0.03400000000118586
0.0100000449999485,-0.3158412995379567,-1.2417766984850613,-1.1915656836065935,-1.381,4.124,0.035000000000659504
0.0100000459999485,-0.3098412995379567,-1.2407766984850614,-1.1915656836065935,-1.374,4.147,0.03600000000013315
0.0100000469999485,-0.3048412995379567,-1.2397766984850613,-1.1915656836065935,-1.368,4.169,0.03699999999960679
0.0100000479999485,-0.2988412995379567,-1.2387766984850614,-1.1915656836065935,-1.361,4.192,0.03800000000081516
0.0100000489999485,-0.2938412995379567,-1.2377766984850613,-1.1915656836065935,-1.355,4.215,0.039000000000288804
0.0100000499999485,-0.2888412995379567,-1.2367766984850614,-1.1905656836065934,-1.348,4.238,0.03999999999976245
0.0100000509999485,-0.28284129953795667,-1.2357766984850613,-1.1905656836065934,-1.342,4.26,0.041000000000970815
0.0100000519999485,-0.27784129953795667,-1.2347766984850614,-1.1905656836065934,-1.335,4.283,0.04200000000044446
0.0100000529999485,-0.2718412995379567,-1.2337766984850613,-1.1905656836065934,-1.329,4.305,0.042999999999918104
0.0100000539999485,-0.2668412995379567,-1.2327766984850614,-1.1905656836065934,-1.322,4.328,0.04400000000112647
0.0100000549999485,-0.2608412995379567,-1.2317766984850615,-1.1905656836065934,-1.316,4.351,0.045000000000600116
0.0100000559999485,-0.2558412995379567,-1.2297766984850615,-1.1905656836065934,-1.309,4.374,0.04600000000007376
0.0100000569999485,-0.2508412995379567,-1.2287766984850614,-1.1905656836065934,-1.303,4.396,0.046999999999547404
