Label,Inductance,Deviation,Volume,Losses,Core Type
113,0.0005512551943894725,18.332563794152232,2.2483158260258385e-05,1.8791256125153235,PQ 35/35
114,0.0005437137742341564,19.449811224569423,2.2483158260258385e-05,1.8507450133493637,PQ 35/35
231,0.000561879615923285,16.7585754187726,2.2483158260258385e-05,1.9139520185141956,PQ 35/35
236,0.0005544494441279674,17.8593416106715,2.2483158260258385e-05,1.8864480137827133,PQ 35/35
239,0.0005469147486911336,18.975592786498726,2.2483158260258385e-05,1.8551872614389224,PQ 35/35
414,0.0005729831179601316,15.113612154054588,2.2483158260258385e-05,1.951507733297681,PQ 35/35
432,0.0005657403252792489,16.186618477148322,2.2483158260258385e-05,1.9256714747741754,PQ 35/35
444,0.0005583797803601317,17.277069576276794,2.2483158260258385e-05,1.895953902737634,PQ 35/35
467,0.0005508173383797094,18.39743135115416,2.2483158260258385e-05,1.8636581914095842,PQ 35/35
486,0.0005531415099701484,18.053109634052092,2.0627460811361245e-05,2.2848040268404928,PQ 32/20
487,0.0005531415099701484,18.053109634052092,2.0627460811361245e-05,2.2848040268404928,PQ 32/20
488,0.0005531415099701484,18.053109634052092,2.0627460811361245e-05,2.2848040268404928,PQ 32/20
489,0.0005531415099701484,18.053109634052092,2.0627460811361245e-05,2.2848040268404928,PQ 32/20
494,0.000543263815028394,19.51647184764533,2.2483158260258385e-05,1.8317280721952596,PQ 35/35
495,0.000546067791102968,19.10106798474549,2.0627460811361245e-05,2.24785523425165,PQ 32/20
496,0.000546067791102968,19.10106798474549,2.0627460811361245e-05,2.24785523425165,PQ 32/20
497,0.000546067791102968,19.10106798474549,2.0627460811361245e-05,2.24785523425165,PQ 32/20
498,0.000546067791102968,19.10106798474549,2.0627460811361245e-05,2.24785523425165,PQ 32/20
543,0.000543859403172909,19.428236566976455,2.7506248397888617e-05,2.1138028322018076,PQ 35/35
554,0.0005505915460892075,18.430882060858153,2.7506248397888617e-05,2.135432264844945,PQ 35/35
709,0.000584660915781733,13.38356803233586,2.2483158260258385e-05,1.9927570879752705,PQ 35/35
737,0.0005776046559735151,14.428939855775546,2.2483158260258385e-05,1.9685887810037368,PQ 35/35
788,0.0005703372459978244,15.505593185507498,2.2483158260258385e-05,1.9399493320007242,PQ 35/35
797,0.0005638061374132929,16.473164827660312,2.0627460811361245e-05,2.332081954617968,PQ 32/20
798,0.0005638061374132929,16.473164827660312,2.0627460811361245e-05,2.332081954617968,PQ 32/20
799,0.0005638061374132929,16.473164827660312,2.0627460811361245e-05,2.332081954617968,PQ 32/20
800,0.0005638061374132929,16.473164827660312,2.0627460811361245e-05,2.332081954617968,PQ 32/20
813,0.0005569396479748253,17.49042252224811,2.0627460811361245e-05,2.297829356790257,PQ 32/20
814,0.0005569396479748253,17.49042252224811,2.0627460811361245e-05,2.297829356790257,PQ 32/20
815,0.0005569396479748253,17.49042252224811,2.0627460811361245e-05,2.297829356790257,PQ 32/20
816,0.0005569396479748253,17.49042252224811,2.0627460811361245e-05,2.297829356790257,PQ 32/20
827,0.0005501381681298229,18.498049165952164,2.0627460811361245e-05,2.2622465690233504,PQ 32/20
828,0.0005501381681298229,18.498049165952164,2.0627460811361245e-05,2.2622465690233504,PQ 32/20
829,0.0005501381681298229,18.498049165952164,2.0627460811361245e-05,2.2622465690233504,PQ 32/20
830,0.0005501381681298229,18.498049165952164,2.0627460811361245e-05,2.2622465690233504,PQ 32/20
831,0.0005630117924952012,16.590845556266498,2.2483158260258385e-05,1.909905350547686,PQ 35/35
845,0.0005473162716234644,18.916107907634903,2.7506248397888617e-05,2.135449969807969,PQ 35/35
848,0.0005541820421129808,17.898956724002847,2.7506248397888617e-05,2.156195334269231,PQ 35/35
857,0.0005435012363946042,19.481298311910486,2.0627460811361245e-05,2.2289280284150683,PQ 32/20
858,0.0005435012363946042,19.481298311910486,2.0627460811361245e-05,2.2289280284150683,PQ 32/20
859,0.0005435012363946042,19.481298311910486,2.0627460811361245e-05,2.2289280284150683,PQ 32/20
860,0.0005435012363946042,19.481298311910486,2.0627460811361245e-05,2.2289280284150683,PQ 32/20
861,0.00054028860458494,19.95724376519407,2.7506248397888617e-05,2.1143644103730894,PQ 35/35
868,0.0005608017702900696,16.918256253323033,2.7506248397888617e-05,2.176229270182729,PQ 35/35
884,0.0005670655100757575,15.990294803591484,2.7506248397888617e-05,2.195379902772822,PQ 35/35
898,0.0005556561014576682,17.68057756182694,2.2483158260258385e-05,1.8794358165598566,PQ 35/35
958,0.0005587393040044502,17.223806814155523,3.108037022658705e-05,2.480008311474653,PQ 35/35
1004,0.0005483708301287752,18.75987701795923,2.2483158260258385e-05,1.8505878923071872,PQ 35/35
1013,0.000565785330594561,16.179951023028003,3.108037022658705e-05,2.5077744076559605,PQ 35/35
1061,0.0005421876506748268,19.675903603729367,2.3350800864957557e-05,2.4925493168575628,PQ 32/20
1062,0.0005421876506748268,19.675903603729367,2.3350800864957557e-05,2.4925493168575628,PQ 32/20
1063,0.0005421876506748268,19.675903603729367,2.3350800864957557e-05,2.4925493168575628,PQ 32/20
1064,0.0005421876506748268,19.675903603729367,2.3350800864957557e-05,2.4925493168575628,PQ 32/20
1076,0.0005482469779713027,18.77822548573293,2.3350800864957557e-05,2.5153364645181373,PQ 32/20
1077,0.0005482469779713027,18.77822548573293,2.3350800864957557e-05,2.5153364645181373,PQ 32/20
1078,0.0005482469779713027,18.77822548573293,2.3350800864957557e-05,2.5153364645181373,PQ 32/20
1079,0.0005482469779713027,18.77822548573293,2.3350800864957557e-05,2.5153364645181373,PQ 32/20
